sedasch,cs_mn_avg_ol,gslo,gshi,virtual,total,stuteratio,stitlei,totmenrol,totfenrol,stateabb,type,level,charter,magnet,urbanicity,locale,totenrl,perwht,pernam,perasn,perhsp,perblk,perfl,perrl,gifted_flag,lep_flag,sped_flag,avgrdall,ipr_est
10000601585,,06,12,Not a virtual school,626.0,20.03,Yes,319.0,307.0,AL,Regular School,High,0.0,0.0,Rural,"Rural, Fringe",626.0,0.9256866,0.0016155089,0.0016155089,0.051696286,0.019386107,0.58466452,0.078274757,0,0,0,89.0,329
10001200884,,02,03,Not a virtual school,373.0,18.65,Yes,170.0,203.0,AL,Regular School,Elementary,0.0,0.0,Town,"Town, Distant",353.40103,0.68695027,0.0037693917,0.0058351317,0.28481174,0.01863347,0.61401021,0.080260918,0,0,0,176.58934,215
10001302401,,KG,05,Not a virtual school,412.0,16.48,Not Applicable,213.0,199.0,AL,Regular School,Elementary,0.0,0.0,Suburb,"Suburb, Large",405.121,0.79087663,0.0065392847,0.028753404,0.031361826,0.14246888,0.11358025,0.054322865,0,0,0,70.255966,366
10001302402,,KG,05,Not a virtual school,523.0,16.87,Not Applicable,274.0,249.0,AL,Regular School,Elementary,0.0,0.0,Suburb,"Suburb, Large",517.55847,0.87921023,0.0049497397,0.028713385,0.010891731,0.076234914,0.057971016,0.0057971012,0,0,0,89.354591,342
10018802428,,06,08,Not a virtual school,269.0,22.89,Yes,159.0,110.0,AL,Regular School,Middle,0.0,0.0,Suburb,"Suburb, Large",269.0,0.18250951,0.0,0.0,0.030418251,0.78707224,0.5463143,0.062311847,0,0,0,89.666664,91
10019001460,,PK,03,Not a virtual school,852.0,15.08,Yes,439.0,413.0,AL,Regular School,Elementary,0.0,0.0,Suburb,"Suburb, Large",944.69379,0.6013419,0.0021904823,0.0092630507,0.23082659,0.15637796,0.38391343,0.049129881,0,0,0,239.04987,344
10019001815,,PK,03,Not a virtual school,856.0,14.38,No,416.0,440.0,AL,Regular School,Elementary,0.0,0.0,Suburb,"Suburb, Large",943.73773,0.66505665,0.002105793,0.015023995,0.13563,0.18218355,0.30425081,0.052178532,0,0,0,237.44687,342
10019002149,,06,06,Not a virtual school,497.0,22.61,Not Applicable,267.0,230.0,AL,Regular School,Middle,0.0,0.0,Suburb,"Suburb, Large",484.60651,0.65018296,0.00070574647,0.012714062,0.15263201,0.1837652,0.32254362,0.056244262,0,0,0,484.27045,284
10019402396,,KG,05,Not a virtual school,891.0,18.37,Yes,448.0,443.0,AL,Regular School,Elementary,0.0,0.0,Suburb,"Suburb, Large",857.88965,0.50960219,0.0066132331,0.031864088,0.31908894,0.13283151,0.34267366,0.044950381,0,0,0,142.65324,366
10019502424,,07,10,Not a virtual school,481.0,20.31,No,243.0,238.0,AL,Regular School,,0.0,0.0,Rural,"Rural, Fringe",481.0,0.46008402,0.0063025211,0.063025214,0.073529415,0.39705881,0.1891892,0.052712362,0,0,0,135.0,499
10021000037,,08,09,Not a virtual school,1305.0,17.06,Not Applicable,688.0,617.0,AL,Regular School,,0.0,0.0,City,"City, Small",1139.0027,0.60012114,0.0022434904,0.095885053,0.030644342,0.27110597,0.22751983,0.035825685,0,0,0,572.5946,387
10021002440,,07,07,Not a virtual school,662.0,21.35,Not Applicable,339.0,323.0,AL,Regular School,Middle,0.0,0.0,City,"City, Small",662.0,0.62290078,0.0015267176,0.11145038,0.025954198,0.23816794,0.21450152,0.040785499,0,0,0,662.0,341
10024000046,,09,12,Not a virtual school,592.0,19.1,Not Applicable,309.0,283.0,AL,Regular School,High,0.0,0.0,Rural,"Rural, Distant",591.32336,0.84345537,0.0017004322,0.004540564,0.014738599,0.13556501,0.31091014,0.091577165,0,0,0,61.852272,289
10027001709,,PK,03,Not a virtual school,684.0,17.23,Yes,346.0,338.0,AL,Regular School,Elementary,0.0,0.0,City,"City, Small",637.00983,0.72219741,0.00098931033,0.01234991,0.042397186,0.22206619,0.37808734,0.083684683,0,0,0,150.87027,356
10027001711,,PK,03,Not a virtual school,1121.0,16.98,Not Applicable,600.0,521.0,AL,Regular School,Elementary,0.0,0.0,City,"City, Small",971.47546,0.83379179,0.0027045121,0.012548995,0.040258542,0.11069616,0.22696283,0.032438971,0,0,0,264.4118,492
